ID,DateTime,Description,PositionNoLeap,Latitude,Longitude
255,2020-04-12 22:54:57,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",427536,47.24073493366692,8.189420943728727
358,2020-04-12 22:54:57,Keine Linienleitertelegramme empfangen,427536,47.24073493366692,8.189420943728727
265,2020-04-15 18:02:23,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",200358,47.39111747347512,8.05337307721416
368,2020-04-15 18:02:23,Keine Linienleitertelegramme empfangen,200358,47.39111747347512,8.05337307721416
266,2020-04-15 18:02:23,Stoerung: Zwangsbremse wurde aktiviert,200358,47.39111747347512,8.05337307721416
369,2020-04-15 18:02:23,Zwangsbremse wurde aktiviert,200358,47.39111747347512,8.05337307721416
269,2020-04-16 19:02:05,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",97980,47.30532223842573,8.04966640308893
372,2020-04-16 19:02:05,Keine Linienleitertelegramme empfangen,97980,47.30532223842573,8.04966640308893
270,2020-04-16 19:02:05,Stoerung: Zwangsbremse wurde aktiviert,97980,47.30532223842573,8.04966640308893
373,2020-04-16 19:02:05,Zwangsbremse wurde aktiviert,97980,47.30532223842573,8.04966640308893
285,2020-04-25 06:14:02,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",428055,47.24028201851944,8.18958247545458
388,2020-04-25 06:14:02,Keine Linienleitertelegramme empfangen,428055,47.24028201851944,8.18958247545458
286,2020-04-25 19:25:10,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",428055,47.24028201851944,8.18958247545458
389,2020-04-25 19:25:10,Keine Linienleitertelegramme empfangen,428055,47.24028201851944,8.18958247545458
290,2020-04-26 18:06:16,Stoerung: Zwangsbremse wurde aktiviert,199755,47.39088239442639,8.052660834364683
393,2020-04-26 18:06:16,Zwangsbremse wurde aktiviert,199755,47.39088239442639,8.052660834364683
296,2020-04-28 05:20:54,Stoerung: ZSI0 Modus (Position unbekannt),99243,47.3063988328808,8.050177973009012
399,2020-04-28 05:20:54,Position unbekannt (ZSI0),99243,47.3063988328808,8.050177973009012
422,2020-05-05 04:11:39,Zwangsbremse wurde aktiviert,199893,47.390925811985966,8.052831756684672
423,2020-05-05 08:27:57,Keine Linienleitertelegramme empfangen,199893,47.390925811985966,8.052831756684672
425,2020-05-05 11:15:22,Keine Linienleitertelegramme empfangen,199893,47.390925811985966,8.052831756684672
426,2020-05-05 14:46:06,Keine Linienleitertelegramme empfangen,199893,47.390925811985966,8.052831756684672
427,2020-05-05 15:13:55,Keine Linienleitertelegramme empfangen,199893,47.390925811985966,8.052831756684672
435,2020-05-07 22:06:44,Zwangsbremse wurde aktiviert,199876,47.39092053246613,8.05281066304754
451,2020-05-12 06:46:51,Keine Linienleitertelegramme empfangen,428061,47.24027678259781,8.18958434342394
463,2020-05-15 14:22:23,Zwangsbremse wurde aktiviert,322678,47.30986390662138,8.115260536746018
481,2020-05-20 06:49:18,Keine Linienleitertelegramme empfangen,100298,47.30731906528685,8.050502226818251
500,2020-05-28 07:40:55,Keine Linienleitertelegramme empfangen,428063,47.24027503729061,8.189584966080394
502,2020-05-28 17:03:41,Keine Linienleitertelegramme empfangen,428063,47.24027503729061,8.189584966080394
503,2020-05-28 18:39:48,Keine Linienleitertelegramme empfangen,428063,47.24027503729061,8.189584966080394
510,2020-05-30 18:55:12,Keine Linienleitertelegramme empfangen,114522,47.31976670943614,8.052804695042093
511,2020-05-30 19:46:43,Keine Linienleitertelegramme empfangen,114522,47.31976670943614,8.052804695042093
512,2020-05-30 19:46:43,Zwangsbremse wurde aktiviert,114522,47.31976670943614,8.052804695042093
515,2020-06-01 07:32:02,Keine Linienleitertelegramme empfangen,114474,47.319724039520295,8.052795707226739
516,2020-06-01 07:32:02,Zwangsbremse wurde aktiviert,114474,47.319724039520295,8.052795707226739
517,2020-06-01 21:54:51,Keine Linienleitertelegramme empfangen,114474,47.319724039520295,8.052795707226739
518,2020-06-01 23:02:16,Keine Linienleitertelegramme empfangen,114474,47.319724039520295,8.052795707226739
519,2020-06-01 23:02:16,Zwangsbremse wurde aktiviert,114474,47.319724039520295,8.052795707226739
523,2020-06-02 06:20:05,Zwangsbremse wurde aktiviert,427498,47.240768095948816,8.189409121936823
525,2020-06-02 20:18:57,Keine Linienleitertelegramme empfangen,427498,47.240768095948816,8.189409121936823
526,2020-06-02 20:18:57,Zwangsbremse wurde aktiviert,427498,47.240768095948816,8.189409121936823
527,2020-06-02 20:56:58,Keine Linienleitertelegramme empfangen,427498,47.240768095948816,8.189409121936823
530,2020-06-03 08:17:07,Position unverifiziert (Eichung falsch),202487,47.39210677474439,8.055743134369179
531,2020-06-03 08:17:07,Position unbekannt (ZSI0),202487,47.39210677474439,8.055743134369179
533,2020-06-03 09:34:58,Zwangsbremse wurde aktiviert,202487,47.39210677474439,8.055743134369179
542,2020-06-04 21:15:33,Keine Linienleitertelegramme empfangen,200135,47.39100730094548,8.05312816938567
564,2020-06-09 21:34:43,Zwangsbremse wurde aktiviert,97874,47.30523123459707,8.049625389132544
591,2020-06-17 08:16:13,Keine Linienleitertelegramme empfangen,322232,47.31024345315319,8.115074336310082
592,2020-06-17 10:23:06,Position unverifiziert (Eichung falsch),322232,47.31024345315319,8.115074336310082
594,2020-06-17 10:23:06,Zwangsbremse wurde aktiviert,322232,47.31024345315319,8.115074336310082
593,2020-06-17 10:23:06,Position unbekannt (ZSI0),322232,47.31024345315319,8.115074336310082
595,2020-06-17 10:35:57,Position unbekannt (ZSI0),322232,47.31024345315319,8.115074336310082
753,2020-06-18 18:30:08,Keine Linienleitertelegramme empfangen,202478,47.39210356911307,8.055732208744208
772,2020-06-24 04:12:16,Zwangsbremse wurde aktiviert,97972,47.30531541174573,8.049663112427117
817,2020-07-06 00:05:07,Position unverifiziert (Eichung falsch),372345,47.281977310604304,8.153611839612703
